Postcode,SplitIndicator,CouncilArea2019Code,ElectoralWard2019Code,Islands2020Code,CouncilArea2019Name,ElectoralWard2019Name,Island2020Name,InhabitedStatus
EH18 1ATA,Y,S12000036,S13002934,000,City of Edinburgh,Liberton/Gilmerton,Mainland,Y
EH18 1ATB,Y,S12000019,S13003022,000,Midlothian,Midlothian East,Mainland,Y
EH22 1RRA,Y,S12000019,S13003020,000,Midlothian,Dalkeith,Mainland,Y
EH22 1RRB,Y,S12000036,S13002934,000,City of Edinburgh,Liberton/Gilmerton,Mainland,Y
EH22 2NJA,Y,S12000010,S13002910,000,East Lothian,"Tranent, Wallyford and Macmerry",Mainland,Y
EH22 2NJB,Y,S12000019,S13003020,000,Midlothian,Dalkeith,Mainland,Y
EH22 2NRA,Y,S12000019,S13003020,000,Midlothian,Dalkeith,Mainland,Y
EH22 2NRB,Y,S12000010,S13002910,000,East Lothian,"Tranent, Wallyford and Macmerry",Mainland,Y
EH23 4TEA,Y,S12000019,S13003023,000,Midlothian,Midlothian South,Mainland,Y
EH23 4TEB,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
EH26 8QJA,Y,S12000019,S13003023,000,Midlothian,Midlothian South,Mainland,Y
EH26 8QJB,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
EH26 9LXA,Y,S12000019,S13003018,000,Midlothian,Penicuik,Mainland,Y
EH26 9LXB,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
EH27 8BBA,Y,S12000036,S13002920,000,City of Edinburgh,Pentland Hills,Mainland,Y
EH27 8BBB,Y,S12000040,S13002824,000,West Lothian,East Livingston and East Calder,Mainland,Y
EH27 8DAA,Y,S12000040,S13002824,000,West Lothian,East Livingston and East Calder,Mainland,Y
EH27 8DAB,Y,S12000036,S13002920,000,City of Edinburgh,Pentland Hills,Mainland,Y
EH27 8DJA,Y,S12000040,S13002824,000,West Lothian,East Livingston and East Calder,Mainland,Y
EH27 8DJB,Y,S12000036,S13002920,000,City of Edinburgh,Pentland Hills,Mainland,Y
EH27 8DZA,Y,S12000040,S13002824,000,West Lothian,East Livingston and East Calder,Mainland,Y
EH27 8DZB,Y,S12000036,S13002920,000,City of Edinburgh,Pentland Hills,Mainland,Y
EH27 8EAA,Y,S12000040,S13002824,000,West Lothian,East Livingston and East Calder,Mainland,Y
EH27 8EAB,Y,S12000036,S13002920,000,City of Edinburgh,Pentland Hills,Mainland,Y
EH27 8EFA,Y,S12000040,S13002824,000,West Lothian,East Livingston and East Calder,Mainland,Y
EH27 8EFB,Y,S12000036,S13002920,000,City of Edinburgh,Pentland Hills,Mainland,Y
EH29 9EFA,Y,S12000036,S13002919,000,City of Edinburgh,Almond,Mainland,Y
EH29 9EFB,Y,S12000040,S13002821,000,West Lothian,"Broxburn, Uphall and Winchburgh",Mainland,Y
EH30 9SJA,Y,S12000036,S13002919,000,City of Edinburgh,Almond,Mainland,Y
EH30 9SJB,Y,S12000040,S13002820,000,West Lothian,Linlithgow,Mainland,Y
EH37 5TFA,Y,S12000019,S13003022,000,Midlothian,Midlothian East,Mainland,Y
EH37 5TFB,Y,S12000026,S13002765,000,Scottish Borders,Leaderdale and Melrose,Mainland,Y
EH46 7BEA,Y,S12000019,S13003018,000,Midlothian,Penicuik,Mainland,Y
EH46 7BEB,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
EH46 7HHA,Y,S12000029,S13003097,000,South Lanarkshire,Clydesdale East,Mainland,Y
EH46 7HHB,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
EH46 7HJA,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
EH46 7HJB,Y,S12000029,S13003097,000,South Lanarkshire,Clydesdale East,Mainland,Y
EH47 9ADA,Y,S12000040,S13002825,000,West Lothian,Fauldhouse and the Breich Valley,Mainland,Y
EH47 9ADB,Y,S12000050,S13003054,000,North Lanarkshire,Fortissat,Mainland,Y
EH48 3AGA,Y,S12000040,S13002828,000,West Lothian,Armadale and Blackridge,Mainland,Y
EH48 3AGB,Y,S12000050,S13003049,000,North Lanarkshire,Airdrie North,Mainland,Y
EH48 3AWA,Y,S12000040,S13002828,000,West Lothian,Armadale and Blackridge,Mainland,Y
EH48 3AWB,Y,S12000050,S13003054,000,North Lanarkshire,Fortissat,Mainland,Y
EH49 7LYA,Y,S12000014,S13002936,000,Falkirk,Bo'ness and Blackness,Mainland,Y
EH49 7LYB,Y,S12000040,S13002820,000,West Lothian,Linlithgow,Mainland,Y
EH49 7NUA,Y,S12000040,S13002820,000,West Lothian,Linlithgow,Mainland,Y
EH49 7NUB,Y,S12000014,S13002936,000,Falkirk,Bo'ness and Blackness,Mainland,Y
EH49 7RHA,Y,S12000040,S13002820,000,West Lothian,Linlithgow,Mainland,Y
EH49 7RHB,Y,S12000014,S13002936,000,Falkirk,Bo'ness and Blackness,Mainland,Y
EH49 7RQA,Y,S12000014,S13002936,000,Falkirk,Bo'ness and Blackness,Mainland,Y
EH49 7RQB,Y,S12000040,S13002820,000,West Lothian,Linlithgow,Mainland,Y
EH52 5PYA,Y,S12000036,S13002919,000,City of Edinburgh,Almond,Mainland,Y
EH52 5PYB,Y,S12000040,S13002821,000,West Lothian,"Broxburn, Uphall and Winchburgh",Mainland,Y
EH52 6QJA,Y,S12000036,S13002919,000,City of Edinburgh,Almond,Mainland,Y
EH52 6QJB,Y,S12000040,S13002820,000,West Lothian,Linlithgow,Mainland,Y
EH53 0HTA,Y,S12000036,S13002920,000,City of Edinburgh,Pentland Hills,Mainland,Y
EH53 0HTB,Y,S12000040,S13002824,000,West Lothian,East Livingston and East Calder,Mainland,Y
FK1 2LAA,Y,S12000040,S13002828,000,West Lothian,Armadale and Blackridge,Mainland,Y
FK1 2LAB,Y,S12000014,S13002944,000,Falkirk,Upper Braes,Mainland,Y
FK1 2NLA,Y,S12000040,S13002828,000,West Lothian,Armadale and Blackridge,Mainland,Y
FK1 2NLB,Y,S12000014,S13002944,000,Falkirk,Upper Braes,Mainland,Y
FK1 3ALA,Y,S12000014,S13002944,000,Falkirk,Upper Braes,Mainland,Y
FK1 3ALB,Y,S12000050,S13003045,000,North Lanarkshire,Cumbernauld East,Mainland,Y
FK1 3DZA,Y,S12000014,S13002944,000,Falkirk,Upper Braes,Mainland,Y
FK1 3DZB,Y,S12000050,S13003049,000,North Lanarkshire,Airdrie North,Mainland,Y
FK10 3QGA,Y,S12000005,S13002879,000,Clackmannanshire,Clackmannanshire East,Mainland,Y
FK10 3QGB,Y,S12000047,S13003131,000,Fife,West Fife and Coastal Villages,Mainland,Y
FK14 7JXA,Y,S12000005,S13002879,000,Clackmannanshire,Clackmannanshire East,Mainland,Y
FK14 7JXB,Y,S12000048,S13003069,000,Perth and Kinross,Strathallan,Mainland,Y
FK14 7NEA,Y,S12000005,S13002879,000,Clackmannanshire,Clackmannanshire East,Mainland,Y
FK14 7NEB,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
FK14 7NTA,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
FK14 7NTB,Y,S12000005,S13002879,000,Clackmannanshire,Clackmannanshire East,Mainland,Y
FK15 0NBA,Y,S12000048,S13003069,000,Perth and Kinross,Strathallan,Mainland,Y
FK15 0NBB,Y,S12000030,S13003117,000,Stirling,Dunblane and Bridge of Allan,Mainland,Y
FK15 9JUA,Y,S12000048,S13003069,000,Perth and Kinross,Strathallan,Mainland,Y
FK15 9JUB,Y,S12000030,S13003117,000,Stirling,Dunblane and Bridge of Allan,Mainland,Y
FK19 8QEA,Y,S12000030,S13003115,000,Stirling,Trossachs and Teith,Mainland,Y
FK19 8QEB,Y,S12000048,S13003068,000,Perth and Kinross,Strathearn,Mainland,Y
FK2 8RUA,Y,S12000030,S13003121,000,Stirling,Bannockburn,Mainland,Y
